Title,Attachment Text,Start Date,End Date
Call for Proposals - 2018 under India - Iran Bilateral S&T Cooperation,"1 
 
 
 
 
 
INDIA-IRAN BILATERAL SCIENTIFIC AND TECHNOLOGICAL COOPERATION 
 
CALL FOR PROPOSALS – 2018 
 
 
From 1st January 2018 to 15th February 2018 is the open call for the presentation of joint 
research projects between Indian and Iranian groups, in the framework of the agreed minutes of the 
Indo-Iran Joint Committee Meeting on Science and Technology of Cooperation between the 
Department of Science and Technology (DST), Ministry of Science & Technology of the Indian Republic 
and the Centre for International Scientific Cooperation (CISC), Ministry of Science, Research and 
Technology (MSRT) of the Islamic Republic of Iran, taking as a base of the General Agreement of 2003 
on  Scientific and Technical Cooperation between Indian and Iranian Governments. 
 
 
OBJECTIVES:  
• 
To strengthen and to expand relations between both scientific communities, making 
possible the exchanges between Indian and Iranian research groups, in the framework of 
joint scientific and technological projects, selected by the parties. 
• 
Promote implementation of joint projects able to bind R&D centres with enterprises from 
both countries.  
 
 
PROJECT PARTICIPANTS AND SUBJECT AREAS: 
 
Scientists/Faculty Members working in regular capacity in Government recognized 
Universities/Deemed Universities, Academic Institutes and National Research & Development 
Laboratories/ Institutes can apply as Principal Investigator (PI). The Indian PI should not be retiring 
during the proposed duration of the project. In order to qualify for such funding, investigators are 
required to have a concrete and sound research proposal on any of the following areas:  
 
 
The priority areas for this Call mutally agreed are as given below: 
1.  Biotechnology and Human Health (focusing improvement in crop productivity, transgenic 
crops, microbial biotechnology with emphasis on cellulosic biofuel and microbial diversity and 
bioprospecting; Molecular Medicine focussing research on stem cell, cancer, tro",01/01/2018,15/02/2018
Call for Proposal for Device Development Programme - 2017,"1 
CALL FOR PROPOSALS 
For 
 
under 
(TECHNOLOGY DEVELOPMENT PROGRAMME) 
 
 
 
 
The Department of Science & Technology (DST) under its Device Development Programme 
has been promoting and supporting activities related to indigenous development of selected 
devices in the country. During recent past, DST has supported the development of 
instruments/devices etc. at various R&D institutions/universities. This has resulted in 
development of these instruments and subsequent transfer of know-how to various production 
agencies for their commercial production.  
IDENTIFIED AREAS: 
Following areas have been identified and project proposals may be submitted for 
development of device in the following areas: - 
 
Measuring/ Monitoring devices/instruments: - 
 Low cost IR spectrophotometers (NIR & MIR) 
 Low cost Raman spectrophotometers. 
 Low cost GC, HPLC instruments. 
 Micro-fluidic platforms for various applications. 
 Vibration Measuring/Monitoring Instruments 
 Straightness Measuring Instruments 
 Teaching Aid Instruments 
 Quality Measuring Instruments 
 Sensor based devices 
 
Food adulteration detection devices: - 
 Affordable devices to check for adulteration in food, including grains, spices and raw 
& processed food. 
 Devices for detection of hazardous elements in food like lead, mercury, arsenic etc. 
 
Plants diseases detection devices. 
 Low cost, fast and compact device for the detection of disease in plants.  
 Spectroscopic systems for quantification of disease level in plants. 
Last Date of Submission: 31st January, 2018 
DEVICE DEVELOPMENT PROGRAMME 
2 
 Environmental monitoring devices/ Early warning Systems: - 
 Low cost kit for automobile exhaust emission measurement. 
 Instrument for pollution measuring and monitoring systems 
 IoT enabled industrial systems:- 
 IOT enabled industrial systems for various applications 
 
Disaster management in sewages and Man-holes: 
   Novel systems for detection and monitoring of hazardous g",27/12/2017,16/02/2018
Call for proposal - Science & Heritage Research Initiative(SHRI)," 
 
 
GUIDELINES 
& 
FORMAT 
FOR 
SUBMISSION OF 
 
PROJECT PROPOSALS 
 
 
 
 
 
UNDER THE SCHEME 
 
 
 
“Science and Heritage Research 
Initiative (SHRI)” 
 
 
 
 
 
 
 
 
GOVERNMENT OF INDIA 
MINISTRY OF SCIENCE AND TECHNOLOGY 
DEPARTMENT OF SCIENCE AND TECHNOLOGY  
 
TECHNOLOGY BHAVAN, NEW MEHRAULI ROAD 
NEW DELHI-110016 
 
 
 
 
1 | P a g e  
 
Science and Heritage Research Initiative (SHRI) 
Scheme: 
Technology Development and Transfer  
Background: 
Heritage science refers to the ""fascinating, rich and diverse range of 
scientific challenges"" associated with conservation and maintenance of 
movable and immovable heritage. Its significance has grown steadily in recent 
times for culturally rich, knowledge based economies. 
Since the very beginning, for investigation, preservation, and 
conservation-restoration of our cultural heritage, science and technology has 
been playing an important role. It includes documentation, study of materials 
& technology across the era, understanding degradation processes and 
current state of works of art, as well. Eventually, it leads to development and 
evaluation of new materials and methods for interventions in both, movable 
and immovable art works. In the past decades, the booming developments in 
chemical science, especially in analytical, organic, environmental chemistry, 
electronics and computer science has brought new tools and methods of great 
perfection for analysis, diagnosis and protection of art and cultural objects. 
Overview: 
The societal connections with cultural heritage can be nurtured by 
preservation and valorisation of legacy through scientific methods and 
technologies, thereby converting it into a resource. 
The imaging, diagnosis, and preservation techniques for cultural heritage can 
be optimized through interdisciplinary collaboration and technology transfer 
to expand the ""tool kit"" whilst inspiring researchers to explore beyond 
boundaries. 
Science and Heritage Research Initiative (SHRI), a new ",28/12/2017,16/02/2018
Indo - Norway Joint Energy Call 2017," 
DEPARTMENT OF SCIENCE & TECHNOLOGY (DST) 
and 
RESEARCH COUNCIL OF NORWAY (RCN) 
CALL FOR PROPOSALS on Energy research (2018) 
Last date for submission of proposals:  
For Norwegian applicants: 14February 2018 
For Indian applicants: 21 February 2018 
 
 
India and Norway have started a program for joint funding of Indo-Norwegian joint research 
projects in mutually agreed fields to achieve bilateral world-class scientific results.  
Guidelines and important considerations relevant to all types of 
applications in this call for proposals: 
Under the Agreement of Cooperation in Science & Technology concluded between the Government 
of India and the Government of Norway, the Department of Science and Technology (DST) of the 
Government of India and the Research Council of Norway (RCN) have started a program for joint 
funding of Indo-Norwegian joint research projects in mutually agreed fields to achieve world-class 
scientific results. 
Norwegian funding for this call for proposals is part of the two RCN programs INDNOR and 
ENERGIX, and will be given withinthe field of environmentally friendly energy research. The main 
purpose of this call is to increase Indo- Norwegian R&D cooperation in areas of industrial interest. 
DST and RCN invite Indian and Norwegian research institutions to submit research proposals within 
the thematic areas listed below. RCN will support projects of industrial interest and the project 
proposals should have Letter of Interest (LOI) from at least one Norwegian industrial company. 
From Indian side, Academic partner will submit the project and the industry participation is 
voluntary, if required, and not compulsory. 
Research areas covered 
The following topics are covered by the call 
o 
Solar Energy – PV 
o 
Energy System – smart grid 
More detailed information about the two thematic areas is described in the ENERGIX program plan. 
The call is not open for other thematic areas covered by the plan than the areas listed above. The 
progr",14/11/2017,21/02/2018
EU-India Water Cooperation on Research and Innovation Joint Call for Proposals - 2017- 2018,"India National Guidelines  
EU-India Water Cooperation on Research and Innovation 
 Joint Call for Proposals - 2017- 2018  
 
The EU-India S&T Agreement aims to support excellent research on priority areas which 
can best be addressed by a multinational approach. This initiative should facilitate 
cooperation among the researchers and institutions in India and Europe in the field of 
water. 
 
1. Funding Agencies  
 EUROPEAN UNION  
o European Commission – Horizon 2020  
 INDIA 
o Indian Department of Science and Technology (DST) 
o Indian Department of Biotechnology (DBT)  
 
2. 
Scope 
This action should develop new and/or adapt the most suitable existing innovative and 
affordable solutions for Indian conditions, both in urban and rural areas, by addressing one 
or more of the following broad challenges: 
(i) Drinking water purification with a focus on emerging pollutants; 
(ii) Waste water treatment, with scope for resource/energy recovery, reuse, recycle and 
rainwater harvesting, including bioremediation technologies; 
(iii) Real time monitoring and control systems in distribution and treatment systems. 
The centre of gravity of the actions is expected at TRL 3-6. The detailed Call text is 
annexed at the end of this document. 
The complete call information is available on websites of: 
 
 European Commission Participant Portal 
http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/t
opics/sc5-12-2018.html  
 Department of Science & Technology (DST):  
http://www.dst.gov.in/ , http://onlinedst.gov.in/Login.aspx  
 Department of Biotechnology (DBT):  
http://www.dbtindia.nic.in/  
 
 
 
 
 
 
 
3.       Participation  
Joint proposal for a collaborative research and innovation project (called RIA -
Research and Innovation Action1) should be submitted by a consortium of at least 
three legal entities from India and three legal entities from Europe. 
The eligibility criteria and other terms and conditions are described below. 
 
Abo",17/11/2017,27/02/2018
Scheme for Young Scientists and Technologists,,06/02/2018,15/03/2018
Invites R&D Project Proposals on Spatial Data Infrastructures (SDI) for Urban Governance Applications,"ANNOUNCEMENT/ Call for R&D Proposals 
 
Department of Science and Technology 
Ministry of Science and Technology 
NRDMS-NSDI Division 
 
Invites R&D Project Proposals on “Spatial Data Infrastructures (SDI) 
for Urban Governance Applications” 
 
R&D Project Proposals are hereby invited by the NRDMS-NSDI Division of Department 
of Science & Technology (DST), Govt. of India for developing and demonstrating utility of 
concepts of Spatial Data Infrastructures (SDIs) in Urban Governance Applications. In particular, 
SDI concepts like geospatial metadata, geospatial data and process standards; decision support 
systems; and application of emerging Geo-Information & Communication Technologies in Urban 
Governance using web-based platforms etc. are proposed to be explored and adapted to real-life 
Urban Governance context. Details of the three categories of thrust areas (indicative only) where 
R&D proposals are invited are as follows: 
 
Category I - Testbed projects – Urban Governance testbed projects are required to be 
implemented for testing and demonstrating the utility of SDI concepts (or underlying data sets) in 
Smart City development to end users in a short time frame while focusing on the relevant and 
immediate GIS applications. R&D Teams implementing State SDI projects or similar scientific & 
technical groups in different State Government Agencies are expected to submit project proposals 
in this Category. A part of the proposed activities in the category could be implemented with the 
involvement of a suitable System Integrator/ Vendor to be identified through an EoI/ RFP 
process, in addition to the JRFs/ SRFs/ RAs etc. 
 
Category II - Deployment R&D – In these projects, some amount of development is required to 
be implemented and demonstrated through lab-based activities in technical institutions like IITs, 
Universities; Laboratories etc. to support the deployment of standards/ technologies required in 
Category I (e.g. CityGML testbed for Indian City Fe",26/12/2017,31/03/2018
Advertisement for the SwarnaJayanti Fellowships Scheme 2017-18,"Ministry of Science & Technology 
Department of Science & Technology 
SwarnaJayanti Fellowships 2017-18 
 
Government of India had instituted a scheme titled “SwarnaJayanti Fellowships Scheme” to 
commemorate India’s fiftieth year of Independence. Under this scheme a selected number of 
young scientists, with excellent track record, are provided special assistance and support to 
enable them to pursue research in frontier areas of science and technology. The fellowship is 
scientist specific and not institution specific. 
 
Scientists selected for the award will be allowed to pursue unfettered research with a freedom and 
flexibility in terms of expenditure as approved in the research plan. The project to be submitted 
along with the application should, therefore, contain innovative research idea and it should have a 
potential of making impact on R&D in the discipline. 
 
The duration of the fellowship along with the project will be for a period not exceeding five years. 
 
The fellowship is open to Indian Nationals having a regular position in a recognized Indian 
academic/ research organization. The applicant should possess Ph.D in Science/ Engineering/ 
 Medicine and should not be drawing Fellowship from any other Scheme of GOI. 
The fellowship is open to scientists between 30 to 40 years of age as on December 
31, 2017. Applications from candidates who have completed 40 year of age as on or 
before 31.12.2017 will not be considered.  
 
Applications for the “SwarnaJayanti Fellowships Scheme 2017-18” are invited from eligible 
candidates. Candidates may log on onlinedst.gov.in from 15.02.2018 to access the home page of 
the “DST e-PMS Portal” for details and submit the application in online mode only. There is no 
need to send a hard copy. 
 
 The last date for submission of applications is March 31, 2018 by 1700 hrs.   
 
",12/02/2018,31/03/2018
"Announcement for inviting applications for participation in 3rd BRICS Young Scientist Conclave, Durban, South Africa(25-29 June 2018)"," 
 
DEPARTMENT OF SCIENCE & TECHNOLOGY (DST)  
(Govt. of India) 
Announcement for inviting applications for participation in   
3rd BRICS Young Scientist Conclave 
Durban, South Africa 
(25-29 June 2018) 
OVERVIEW: 
 
The idea of the BRICS Young Scientist Forum was adopted at the 2nd BRICS 
Science, Technology and Innovation (STI) Ministerial Meeting. As part of BRICS YS 
Forum’s activities, the 1st BRICS Young Scientist Conclave was held in Bangalore (India) in 
September 2016 and the 2nd edition of the BRICS YS Conclave was held in Hangzhou, 
China during 10-14 July 2017.  
As a follow up of the above and to implement the BRICS Leaders’ Declaration on 
“strengthening cooperation in science, technology and innovation, especially leveraging 
young scientific talent for addressing societal challenges; creating a networking platform 
for BRICS young scientists”, and implement the instructions of BRICS ministers, the 3rd 
edition of the BRICS Young Scientist Conclave is scheduled to take place in Durban, South 
Africa during 25-29 June 2018.  
The Conclave will provide a high-level platform of academic and policy exchange 
for talented young scientists as well as scientific personnel from BRICS countries to help 
them grow their skills, broaden their horizon and improve academic and policy 
qualifications, stimulate the interest of talented young scientists in the strategic research 
of future technologies, direct their attention to the most promising and important field 
of science and technology, promote exchanges and friendship, expand channels of 
cooperation, strengthen inter-disciplinary integration, encourage new academic 
inspirations, cultivate new academic disciplines and produce valuable policy advice. 
 
VISION: 
 BRICS Youth connectivity & networking to harness their knowledge for resolving 
common societal challenges through research and innovation and strengthen 
advancement of skill & research competencies of youth primarily below the age of 
35 years ",26/03/2018,30/04/2018
Ministry of Mines - Invites Science and Technology Project Proposals,,08/05/2018,15/05/2018
Call for Oriented Research&Technology Development Proposals on Materials for Energy Storage (MES) - 2018,"GOVERNMENT OF INDIA 
MINISTRY OF SCIENCE AND TECHNOLOGY 
DEPARTMENT OF SCIENCE AND TECHNOLOGY 
(Technology Mission Division) 
 
Call for Oriented Research&Technology Development Proposals on 
“Materials for Energy Storage” (MES) - 2018 
 
Preamble: DST is seeking to support novel energy storage research proposals 
addressing one or more of the following challenges: 
 
 Materials and materials design 
 Projects should seek to improve the lifetime and performance of 
energy storage devices through improved materials design and 
development. 
 Projects should seek to achieve performance advances in terms of 
energy and power density, together or separately, as they are 
important for future energy storage devices. 
 Diagnostics 
 Projects should seek to improve the tools and methodologies needed 
to understand and predict the characteristics and performance of 
energy storage materials, components, devices and systems, under 
different conditions and at different length and time scales. 
 Development of methodologies to diagnose energy storage systems 
under prevailing conditions with sufficient speed and accuracy to 
enable the efficient and safe operation of the system. 
 
Scope:Energy storage research include breakthrough research for materials 
leading to disruptive innovations in energy storage and may address all areas of 
energy 
storage 
technologies 
including: 
Chemical 
and 
electrochemical 
technologies (including alternatives to critical metals used in efficient energy 
storage); Electrical technologies; Mechanical and thermal storage technologies. 
The research should primarily address stationary applicationsand distribution of 
electricity. Research may range from the development of improved storage 
systems for electricity gridsto the demonstration and assessment of new 
technologies and systems analysis issues.This call for Efficient Energy Storage 
and Distribution is not exclusive to the above mentioned research issues and the 
call is open to ",15/03/2018,31/05/2018
Call for Proposals for Establishing Technology Enabling Centres (TEC) in University System,"Call of Proposals for TECs 
Establishing Technology Enabling Centres (TEC) in University System 
A rapid expansion has beenobserved, overa period of time, in the R&D output of the country, in 
terms of publications, IP, research translation and technology commercialization etc. These 
outcomes are playing an important role in the country's economic development, as evidenced by 
various rankings and performance matrices. Academia is the prime resource in any country for 
generating new knowledge and its conversionto wealth. However, absence of effective 
institutional mechanisms in academia fortranslating R&D output into technological wealth is a 
big impediment. TDT Division has been implementing Technology related programmes since the 
inception ofDST. Itssuccess in terms of indigenous technology development has been 
satisfactory;however, the contributionto this from the University system is yet tobe optimized. 
We have deliberated several times on institutionalizing industry academia interaction, wherein 
creation of an enabling ecosystem has always emerged as an issue remaining to be effectively 
tackled.  
Establishment of Technology Enabling Centres (TEC) in the University System is a step in this 
direction. 
The objective of TEC will be to create an Ecosystem for Technology Development in the 
Universities and to provide a platform to network researchers with other institutes, National 
laboratories and industry. The focus of Centres will be on providing an enabling eco system, 
process and support system.  
TEC's will be supported for period of five years with a maximum support of upto 1 crore 
per year.The progress of Centres will be monitored after every six months for two years and 
annually later. The Centres will be evaluated after three years for continuity and will be further 
extended for two years depending upon their performance. The proposed mandate, activities, 
evaluation criteria may be further modified while evaluating the performance of TECs",16/04/2018,31/05/2018
Call for Proposals under State Science and Technology (SSTP)- 2018-19 - (Call Date: 18.04.2018 to 31.05.2018),"GOVERNMENT OF INDIA 
MINISTRY OF SCIENCE AND TECHNOLOGY 
DEPARTMENT OF SCIENCE AND TECHNOLOGY 
TECHNOLOGY DEVELOPMENT & TRANSFER DIVISION 
 
Call for proposal under State Science & Technology Programme (SSTP) 
 
I. 
 AIM: 
 
This call is aimed at delivering S&T interventions to answer various location 
specific challenges in the different States of the Country which will ensure integration of 
S&T for overall socio-economic development with special emphasis on Location Specific 
Research & Technology Development, Adaptation and Transfer, S&T studies/surveys and 
information of exchange & experience sharing on specific S&T programmes throughout 
the Country.  The focus is on application research and field level interventions to 
demonstrate technical, social, environmental and eventually economic sustainable 
solution for various location specific challenges. The demand for intervention need to be 
evident and established clearly.  
 
II. 
PROMINENT AREAS ON WHICH PROJECT PROPOSAL CAN BE FORMULATED 
 
a) S&T Studies & Surveys:  This includes support for carrying out S&T studies/ surveys 
including techno-economic analysis, simulation modelling and studies etc; and 
development of State S&T database, S&T resources; State S&T policy issues; specific 
status reports etc: The activities under this head should lead to specific action plan 
for project generation.  
 
b) Location specific research & technology development:  Support for identifying/ 
projectising S&T programmes and for development oriented location specific 
research and technology development.  
 
c) Pilot scale demonstration projects:  Pilot scale demonstration projects including 
field trials etc based on technologies developed by Central S&T Agencies/ Labs/ 
Institutions etc. relevant to the State needs.  
 
d) Replication of success models: Replication of successful projects/programmes in 
other interested States based on successful experiences of a State S&T Council/ State 
S&T Institute/ NGOs etc.  
",19/04/2018,31/05/2018
Call for Proposals for Biomedical  Device and Technology Development (BDTD)-TDT Division,"1 
CALL FOR PROPOSALS 
For 
 
under 
(TECHNOLOGY DEVELOPMENT PROGRAMME) 
 
 
 
 
 
Department of Science and Technology has initiated a programme on Biomedical 
 Device and Technology Development (BDTD) during the year, 2016. BDTD has been 
evolved considering the concern of medical device industry to develop new innovative 
products as per global standards. The focus of DST- BDTD is on development of devices and 
related technologies. The categories listed for support include under this call include: 
a) Late-Stage Prototype Development (Fabrication of compact prototype for 
testing and validation) 
b) Pilot Scale Testing and validation: (Upon completion of the technology’s 
design, fabrication final testing with limited number of prototypes) with 
mandatory (manufacturer) industry participation. 
 
IDENTIFIED AREAS 
 
Following areas have been identified for development of innovative devices for diagnosis, 
prevention, monitoring: 
 Non invasive devices to record physiological parameters for long term monitoring 
 Preventive healthcare-Mass Screening devices 
 Malnutrition in children (Minimally invasive technologies to monitor brain, vision, 
auditory function in children or any other parameter) 
 Oral/Dental health 
 Mental health 
 Post Surgery / Trauma patient care 
 Non communicable diseases 
 Cardiovascular diseases 
 Cancer  
 Life style disorders 
 
Any proposal not in the scope of the call will be deterred.  
 
WHO CAN SUBMIT PROJECT PROPOSALS 
 
The Project Proposal could be submitted for financial support though ONLINE MODE 
ONLY by scientist/ engineers/ technologists/doctors working in Universities and other 
Last Date of Submission: 31stMay, 2018 
BIOMEDICAL DEVICE AND TECHNOLOGY 
DEVELOPMENT PROGRAMME 
2 
academic institutions; R&D institutions/ laboratories having adequate infrastructure and 
facilities to carry out R&D work.  
 
The investigators/ R&D Group should have adequate experience and expertise in the relevant 
area of proposal. A",25/04/2018,15/06/2018
"Indo-Canada Joint Call for Proposals Improving Occupant Survivability in Buildings During Fires Using Innovations in Structural Engineering, Materials Science and Cyber-Physical Interfaces","Indo-Canada Joint Call for Proposals 
Improving Occupant Survivability in Buildings During Fires Using Innovations in 
Structural Engineering, Materials Science and Cyber-Physical Interfaces 
 
DST and IC-IMPACTS  
 
Fire represents one of the most severe hazards encountered by built environments 
and thus providing appropriate fire safety measures is a major requirement in building 
design. Fire in a building can result from an accidental event (short circuit etc.) or as a 
secondary event following other hazards (such as earthquake, explosion, and impact). Fires, 
if not contained or controlled in early stages, can create severe life-threatening conditions 
leading to loss of life, injuries and property damage. Hence, appropriate fire safety measures 
in buildings are critical for ensuring the safety of occupants, fire-fighters, emergency 
responders, as well as for minimizing fire-induced damage and collapse of structural 
systems. 
Recent fire statistics clearly show that India has the highest fire-related deaths of any 
country in the world. For instance, in 2014, there were more than 300,000 fires in India that 
resulted in about 25,000 deaths and fire losses in the order of thousands of crores (rupees). 
According to the statistics released by the National Crime Records Bureau (India), fire 
accounts for about 5.9% (23,281) of the total deaths reported due to natural and unnatural 
causes during the year 2012. Further, recent statistics also show that fire losses in India are 
increasing at a faster pace due to rapid urbanization and growing economy. Much of this 
increased fire-related deaths and losses are due to the rapid rise in high-rise buildings, 
increased fuel load in buildings and slower response time to fight fires. 
In Canada, First Nations Communities are ten times more susceptible to die in house 
fires than the population at large. (2015, December 21.)  
(Retrieved from http://www.cbc.ca/news/indigenous/first-nations-10-times-more-likely-to-die",10/04/2018,30/06/2018
Call for Oriented Research & Technology Development Proposals on Hydrogen and Fuel Cell (HFC) - 2018,"GOVERNMENT OF INDIA 
MINISTRY OF SCIENCE AND TECHNOLOGY 
DEPARTMENT OF SCIENCE AND TECHNOLOGY 
(Technology Mission Division) 
 
Call for Oriented Research & Technology Development Proposals on 
“Hydrogen and Fuel Cell (HFC)” - 2018 
 
Preamble: DST is seeking to support innovativeHydrogen and Fuel research 
proposals addressing one or more of the following challenges: 
 
 Research on hydrogen and fuel cell as renewable energy carrier, such as 
hydrogen production and distribution, hydrogen storage for renewable 
energy integration and fuels cells for power and combined heat and 
power generation. 
 
 
To develop transformational technologies that reduce the cost of 
hydrogen production, distribution& Storage, diversify the feedstock 
available for economic hydrogen production, enhance the flexibility of 
the power grid, reduce emissions through novel uses of low-cost 
hydrogen. 
 
 
Projects should seek to achieve performance advances in terms of 
durability of fuel cell technology. Proposal submitted under this topic 
should focus on developing and optimizing advanced electrocatalysts 
and novel synthesis methods. The conceptual and detailed design of a 
High temperature Fuel Cell-Combined Heat and Power (HTFC-CHP) 
system optimised for raw biomass-derived gaseous fuel operation in a 
real environment, processing different types of biogas feedstock, 
coping with gas composition fluctuations and pollutants. 
 
Aim:Reduce the production cost of fuel cell systems to be used in transport 
applications, while increasing their lifetime to levels which can compete with 
conventional technologies, increase the electrical efficiency and the durability of 
the different fuel cells used for power production to levels which can compete 
with conventional technologies, while reducing costs, increase the energy 
efficiency of production of hydrogen mainly fromwater electrolysis and renewable 
sources while reducing operating and capital costs, so that the combined system 
of ",10/05/2018,15/07/2018
"Initiative in Coordinated Programme for Arid, Semi Arid and Cold Desert Regions(ASACODER)",,05/06/2018,15/07/2018
India - Thailand Joint Call for Proposals," 
 
 
 
 
Department of Science & Technology (DST), 
Government of India 
& 
Ministry of Science and  
Technology of the Kingdom of Thailand  
Bilateral Scientific and Technological Cooperation 
between  
The Republic of India and The Kingdom of Thailand 
 
CALL FOR JOINT PROPOSALS (2018) 
DEADLINE FOR THE SUBMISSION OF PROPOSALS : JULY 16, 2018 
Under the Programme of Cooperation in the fields of Science and Technology 
for the years 2018-20, the Indian Department of Science and Technology (DST), 
Ministry of Science and Technology, Government of India and the Ministry of 
Science & Technology of the Kingdom of Thailand, invite Indian and Thai 
universities, research centres and institutes to submit joint proposals for scientific 
and technological research and development  projects. 
I - PRIORITY RESEARCH AREAS  
Department of Science & Technology (DST), Government of India and 
Ministry of Science & Technology of the Kingdom of Thailand, invite Indian and Thai 
scientists / researchers to submit proposals for joint research projects in the following 
areas: 
i. 
Human Health sciences 
ii. 
Renewable Energy covering solar cells and PV  reliability  
iii. 
Photonics  covering elastomeric optics and optical devices 
iv. 
Geospatial Technologies   covering  creation of GIS of towns in 
Thailand for urban development   
v. 
Astronomy & Astrophysics  
II – WHO CAN APPLY 
 
The proposals should involve one or preferably more research entities from 
both sides. The joint application must include one Indian and one Thai Principal 
Investigators, who would  be responsible for technical as well as administrative co-
ordination of the project and its periodic scientific and financial reporting to the DST/ 
Office of the Permanent Secretary, Ministry of Science and Technology  
respectively. 
 
Please note that on the Indian side applicant already implementing two 
projects funded by the International Division of DST is not eligible to submit 
the project against this call. 
",01/06/2018,16/07/2018
"DST Science, Technology, and Innovation Policy Fellowships"," 
 
Ministry of Science and Technology 
Department of Science and Technology 
Last Date of Application Extended: July 20, 2018 
 
DST Science, Technology, and Innovation Policy Fellowships 
 
Background and Motivation 
Science, Technology, and Innovation (STI) are now recognized as playing a significant role in 
advancing human, social, and economic development and meeting the aspirations of people 
and nations across the world. As a result, understanding STI processes and exploring ways to 
strengthen them is a major strand of intellectual activity, evinced by the explosion of literature 
on these topics in the last decade. Department of Science and Technology (DST) recognized 
the importance of evidence-driven research and analysis in underpinning the effective 
achievement of the objectives of this policy and established DST Centers for Policy Research 
(CPRs) in various academic institutions across the country. These centers are engaged in 
targeted research in number of key areas relevant to the country, train young scholars in STI 
policy research, and contribute towards providing inputs to DST. 
As the country is lagging behind in terms of critical mass and proper structure of policy 
research institution(s), Policy Research Cell of DST had announced STI Policy Fellowship 
Programme in 2016 with the broad objective of (a) enhancing human resources that can 
engage with and contribute to the STI policy domain and (b) strengthen the knowledge base, 
think tank, and evidence based policy making. The 3rd Call for STI Policy Fellowship was 
announced to provide an opportunity to develop the skills for young scientists and engineers 
who are interested in engagement with the STI policy domain and/or as STI policy 
researchers. This programme aims to attract and encourage top-quality researchers as 
POSTDOCTORAL FELLOW (Max 10 numbers) to work on the issues pertaining to STI 
policy and contribute their knowledge and analytical skills in the policy realm.  
Candidat",10/05/2018,20/07/2018
DST-DAAD 2018 Call for Personal Exchanges between India and Germany," 
 
 
 
  
   
                     
                                       
                                   P33 – Projektförderung deutsche Sprache                  
                                              and Forschungsmobilität (PPP) 
 
 
 
 
 
Department of Science & Technology 
(Govt of India) 
 
                                             
 
 
 
1 
 
Announcement 2019             
 Project- based Personnel Exchange Programme with India 
- Indo-German Joint Research Collaboration - 
 
DAAD / Department of Science and Technology (DST) 
Last Date : 31st July 2018 
  
 
Agreement 
 The ’Project-based Personnel Exchange Programme’(PPP) is a bilateral research 
promotion programme which is the result of the Memorandum of Understanding 
(MoU) concluded in 1998 between the German Academic Exchange Service 
(DAAD) and the Department of Science and Technology (DST). . 
 
  
Who are the funding 
institutions? 
 DAAD receives funds for implementing the programme through a budget allocation 
made by the Federal Ministry of Education and Research (BMBF). On the Indian 
side, the programme is funded by Government of India through the Department of 
Science and Technology (DST).  
 
  
What are the aims of 
the programme?  
 
 The basic aim of the programme is to strengthen the collaboration between Indian 
and German research groups, which are working jointly on a particular scientific 
project.  The programme ’Project-based Personnel Exchange’ envisages, in this 
connection, financial support for operational mobility only. Particular emphasis is 
thereby accorded to academic training and specialization of young researchers.  
Concrete objectives have to be mentioned in the application (project description) 
(including the number and academic credentials of the researchers to be support-
ed). 
Research collaborations entered into with the intention of initiating major projects, 
such as the preparation of joint applications meant for submission to any other fund-
i",20/06/2018,31/07/2018
Joint Call for project proposals 2018 - Indo-Danish Research and Innovation Cooperation in the areas of Renewable Energy,"Joint Call for project proposals  
2018 - Indo-Danish Research and Innovation Cooperation  
in the areas of Renewable Energy 
 
Announcement of Call for Proposals : May 22, 2018 
Deadline for Submitting Proposals: August 14, 12.00 Danish Time, 15.30 Indian Time, 2018 
 
Innovation Fund Denmark (IFD) and Department of Science and Technology (DST) have agreed to launch a 
call for joint projects with a view to further develop and strengthen the Danish-Indian research cooperation 
in the areas Renewable Energy. This is in pursuant to the agreement of 22nd May 2018, between the 
Government of the Republic of India and the Government of Denmark on cooperation in the fields of 
 Science, Technology and Innovation. 
 
1. Prioritised research and innovation areas 
Renewable Energy: Development and integration of renewable energy based solutions and energy 
efficiency in electricity and heating systems  
 
2. Application procedure 
 
The Danish and Indian applicants will develop one joint Project plan and the plan will be sent to both 
Denmark IFD and India (DST) using the forms of each organisation, respectively. 
 
Project proposal must include the name of one Principal Investigator (PI) each in India and Denmark. On the 
Indian side it is advised to include one Co-PI in the proposal. The applications must include a statement on 
how the proposed collaboration brings added valued for both countries.  
 
On the Indian side PIs and other investigators should either be scientists, researchers or faculty members 
regularly employed by government-recognized universities, academic institutes, national research and 
development laboratories or institutes. Neither PI should be retired or planning to retire during the proposed 
period of the project. Please note that on the Indian side applicant already implementing two projects 
funded by the International Division of DST is not eligible to submit the project against this call. 
 
3. Funding  
 
The successful projects will be fun",28/05/2018,14/08/2018
